,0BDoor,timestamp
2,NOT_PRESENT,2022-02-20 21:07:59.175000+01:00
3,PRESENT,2022-02-20 21:08:32.296000+01:00
4,NOT_PRESENT,2022-02-20 21:08:36.028000+01:00
5,PRESENT,2022-02-21 08:14:10.307000+01:00
6,NOT_PRESENT,2022-02-21 08:14:11.572000+01:00
7,PRESENT,2022-02-21 08:15:16.842000+01:00
8,NOT_PRESENT,2022-02-21 08:28:37.972000+01:00
9,PRESENT,2022-02-21 08:28:41.228000+01:00
10,NOT_PRESENT,2022-02-21 08:28:42.493000+01:00
11,PRESENT,2022-02-21 09:34:29.497000+01:00
12,NOT_PRESENT,2022-02-21 09:34:30.763000+01:00
13,PRESENT,2022-02-21 10:52:15.488000+01:00
14,NOT_PRESENT,2022-02-21 10:58:36.505000+01:00
15,PRESENT,2022-02-21 14:46:33.052000+01:00
16,NOT_PRESENT,2022-02-21 14:47:31.060000+01:00
0,PRESENT,2022-02-22 13:07:59.906000+01:00
1,NOT_PRESENT,2022-02-22 13:08:01.170000+01:00
0,PRESENT,2022-02-22 21:56:34.757000+01:00
1,NOT_PRESENT,2022-02-22 22:34:47.066000+01:00
2,PRESENT,2022-02-22 22:36:16.653000+01:00
3,NOT_PRESENT,2022-02-22 23:25:58.754000+01:00
4,PRESENT,2022-02-23 14:51:24.888000+01:00
5,NOT_PRESENT,2022-02-23 15:01:24.210000+01:00
6,PRESENT,2022-02-23 15:10:50.183000+01:00
7,NOT_PRESENT,2022-02-23 16:44:47.290000+01:00
8,PRESENT,2022-02-23 18:46:39.992000+01:00
9,NOT_PRESENT,2022-02-23 18:46:42.811000+01:00
10,PRESENT,2022-02-23 18:46:46.056000+01:00
11,NOT_PRESENT,2022-02-23 18:46:49.968000+01:00
12,PRESENT,2022-02-23 18:47:01.186000+01:00
13,NOT_PRESENT,2022-02-23 19:50:21.694000+01:00
14,PRESENT,2022-02-23 19:50:35.145000+01:00
15,NOT_PRESENT,2022-02-23 19:50:36.409000+01:00
0,PRESENT,2022-02-26 12:56:00.963000+01:00
1,NOT_PRESENT,2022-02-26 15:09:15.533000+01:00
0,PRESENT,2022-02-26 21:39:51.947000+01:00
1,NOT_PRESENT,2022-02-26 22:13:27.062000+01:00
0,PRESENT,2022-03-01 00:28:36.918000+01:00
1,NOT_PRESENT,2022-03-01 00:28:39.496000+01:00
2,PRESENT,2022-03-01 09:51:13.822000+01:00
3,NOT_PRESENT,2022-03-01 09:51:15.083000+01:00
4,PRESENT,2022-03-01 13:25:25.585000+01:00
5,NOT_PRESENT,2022-03-01 13:25:26.846000+01:00
0,PRESENT,2022-03-01 20:36:28.188000+01:00
1,NOT_PRESENT,2022-03-01 22:00:03.107000+01:00
2,PRESENT,2022-03-02 10:22:02.776000+01:00
3,NOT_PRESENT,2022-03-02 10:22:04.037000+01:00
4,PRESENT,2022-03-02 17:46:11.962000+01:00
5,NOT_PRESENT,2022-03-02 18:59:59.741000+01:00
0,PRESENT,2022-03-03 11:32:37.059000+01:00
1,NOT_PRESENT,2022-03-03 11:32:38.322000+01:00
2,PRESENT,2022-03-03 13:02:13.009000+01:00
3,NOT_PRESENT,2022-03-03 13:02:14.273000+01:00
4,PRESENT,2022-03-03 13:11:18.647000+01:00
5,NOT_PRESENT,2022-03-03 13:11:19.912000+01:00
6,PRESENT,2022-03-03 16:25:42.467000+01:00
7,NOT_PRESENT,2022-03-03 16:25:43.729000+01:00
8,PRESENT,2022-03-03 20:09:15.008000+01:00
0,NOT_PRESENT,2022-03-03 23:31:36.907000+01:00
1,PRESENT,2022-03-04 17:23:15.763000+01:00
2,NOT_PRESENT,2022-03-04 17:23:25.350000+01:00
0,PRESENT,2022-03-04 20:25:24.483000+01:00
1,NOT_PRESENT,2022-03-05 00:39:28.925000+01:00
2,PRESENT,2022-03-05 03:27:13.599000+01:00
3,NOT_PRESENT,2022-03-05 03:57:50.366000+01:00
4,PRESENT,2022-03-05 03:58:18.257000+01:00
5,NOT_PRESENT,2022-03-05 04:13:21.524000+01:00
6,PRESENT,2022-03-05 04:14:33.328000+01:00
7,NOT_PRESENT,2022-03-05 07:20:07.036000+01:00
8,PRESENT,2022-03-05 09:11:46.660000+01:00
9,NOT_PRESENT,2022-03-05 09:12:02.485000+01:00
0,PRESENT,2022-03-05 21:32:02.558000+01:00
1,NOT_PRESENT,2022-03-05 23:56:11.396000+01:00
0,PRESENT,2022-03-06 20:37:23.376000+01:00
1,NOT_PRESENT,2022-03-06 20:37:24.665000+01:00
2,PRESENT,2022-03-06 21:00:13.845000+01:00
